"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 09-Feb-2024"
"NIFTY MIDCAP 150","19,817.25","19,843.20","19,348.05","19,819.60","19,406.95","-","-412.65","-2.08","61,81,22,179","16,202.41","22,515.40","16,717.95","-2.14","10.09"
"BERGEPAINT","479.35","487.50","473.10","479.35","485.65","-","6.30","1.31","8,65,565","41.68","629.50","437.75","4.01","-13.47"
"UNOMINDA","1,061.60","1,078.90","1,037.70","1,052.75","1,066.50","-","13.75","1.31","9,39,612","99.24","1,255.00","604.55","-4.09","64.49"
"PAGEIND","42,983.05","43,941.15","42,801.95","42,983.05","43,400.00","-","416.95","0.97","47,493","206.39","49,849.95","33,070.05","-8.05","18.40"
"ESCORTS","3,303.00","3,349.00","3,270.00","3,269.70","3,300.00","-","30.30","0.93","2,91,281","96.69","4,420.00","2,648.40","-4.00","16.47"
"SOLARINDS","9,140.00","9,230.00","9,059.85","9,085.80","9,160.00","-","74.20","0.82","1,01,055","92.62","13,298.00","6,551.00","-4.66","31.86"
"TIMKEN","2,661.65","2,697.00","2,605.25","2,661.65","2,679.00","-","17.35","0.65","1,54,505","41.09","4,817.90","2,524.50","-7.88","-8.15"
"FLUOROCHEM","3,667.00","3,766.05","3,646.10","3,701.50","3,725.00","-","23.50","0.63","51,197","18.99","4,880.95","2,476.00","-2.49","5.14"
"CUMMINSIND","2,876.40","2,976.00","2,870.00","2,871.90","2,886.00","-","14.10","0.49","11,27,125","329.91","4,171.90","2,425.50","-4.25","10.33"
"UBL","2,045.05","2,076.80","2,041.80","2,048.65","2,057.75","-","9.10","0.44","74,532","15.34","2,299.70","1,647.25","0.94","15.30"
"PATANJALI","1,840.10","1,865.00","1,807.95","1,849.35","1,854.70","-","5.35","0.29","6,78,198","124.23","1,992.20","1,169.95","1.90","15.31"
