"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 10-Feb-2025","1W AGO 
 05-Feb-2025","1M AGO 
 10-Jan-2025","1Y AGO 
 12-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 12-Feb-2024","30 D % CHNG 
 10-Jan-2025"
"NIFTY 50","23,045.25","-0.12","23,050.80","23,144.70","22,798.35","-","23,071.80","23,381.60","23,696.30","23,431.50","21,616.05","26,277.35","21,281.45","6.73","-1.54"
"NIFTY NEXT 50","60,826.50","-","60,793.70","61,157.50","59,151.90","-","60,827.80","62,390.30","64,012.80","64,257.10","56,323.70","77,918.00","56,430.85","8.00","-5.34"
"NIFTY 100","23,508.35","-0.10","23,510.80","23,612.30","23,188.85","-","23,530.80","23,897.00","24,271.35","24,064.75","22,042.10","27,335.65","22,003.75","6.75","-2.22"
"NIFTY 200","12,697.25","-0.12","12,699.30","12,755.55","12,496.15","-","12,712.75","12,943.05","13,182.15","13,105.35","11,914.10","14,833.75","11,868.35","6.70","-3.00"
"NIFTY 500","20,907.85","-0.20","20,924.15","21,002.00","20,545.75","-","20,950.45","21,371.30","21,784.25","21,799.00","19,675.20","24,573.40","19,465.85","6.48","-3.89"
"NIFTY MIDCAP 50","14,218.50","-0.25","14,228.20","14,297.05","13,833.45","-","14,253.60","14,671.20","15,155.95","15,266.45","13,579.30","17,066.75","12,837.00","4.97","-6.63"
"NIFTY MIDCAP 100","50,756.40","-0.26","50,779.30","51,048.85","49,357.65","-","50,887.95","52,471.05","54,180.85","54,585.75","47,675.80","60,925.95","45,293.35","6.74","-6.77"
"NIFTY SMALLCAP 100","16,033.00","-0.26","16,034.85","16,122.45","15,490.10","-","16,074.35","16,648.70","17,108.50","17,645.55","15,617.05","19,716.20","14,085.35","2.93","-8.90"
"INDIA VIX","14.90","0.16","14.87","15.62","14.61","-","14.87","14.45","14.08","14.92","16.06","31.71","9.47","-7.42","-0.30"
"NIFTY MIDCAP 150","18,766.85","-0.37","18,797.25","18,871.80","18,277.25","-","18,837.00","19,406.95","19,995.70","20,252.95","17,572.25","22,515.40","16,717.95","7.20","-6.99"
